iSTD Name,ng iSTD extracted
1_CAR 10:0-d3 iSTD  [M+],50
1_CAR 12:0-d3 iSTD [M+],100
1_CAR 18:0-d3 iSTD [M+],150
1_CE 14:1-d7 iSTD [M+K]+,50
1_CE 14:1-d7 iSTD [M+Na]+,50
1_CE 14:1-d7 iSTD [M+NH4]+,50
1_CE 16:1-d7 iSTD [M+K]+,100
1_CE 16:1-d7 iSTD [M+Na]+,100
1_CE 16:1-d7 iSTD [M+NH4]+,100
1_CE 18:1-d7 iSTD [M+K]+,150
1_CE 18:1-d7 iSTD [M+Na]+,150
1_CE 18:1-d7 iSTD [M+NH4]+,150
1_CE 20:3-d7 iSTD [M+K]+,100
1_CE 20:3-d7 iSTD [M+Na]+,100
1_CE 20:3-d7 iSTD [M+NH4]+,100
1_CE 22:4-d7 iSTD [M+K]+,50
1_CE 22:4-d7 iSTD [M+Na]+,50
1_CE 22:4-d7 iSTD [M+NH4]+,50
1_Cer 16:1 d18:1-d7/16:1 iSTD [M+H]+,150
1_Cer 16:1 d18:1-d7/16:1 iSTD [M+H-H2O]+,150
1_Cer 16:1 d18:1-d7/16:1 iSTD [M+Na]+,150
1_Cer 18:1 d18:1-d7/18:1 iSTD [M+H]+,100
1_Cer 18:1 d18:1-d7/18:1 iSTD [M+H-H2O]+,100
1_Cer 18:1 d18:1-d7/18:1 iSTD [M+Na]+,100
1_Cer 20:1 d18:1-d7/20:1 iSTD [M+H]+,50
1_Cer 20:1 d18:1-d7/20:1 iSTD [M+H-H2O]+,50
1_Cer 20:1 d18:1-d7/20:1 iSTD [M+Na]+,50
1_Cer 22:1 d18:1-d7/22:1 iSTD [M+H]+,100
1_Cer 22:1 d18:1-d7/22:1 iSTD [M+H-H2O]+,100
1_Cer 22:1 d18:1-d7/22:1 iSTD [M+Na]+,100
1_Cer 24:1 d18:1-d7/24:1 iSTD  [M+Na]+,150
1_Cer 24:1 d18:1-d7/24:1 iSTD [M+H]+,150
1_Cer 24:1 d18:1-d7/24:1 iSTD [M+H-H2O]+,150
1_Cholesterol-d7 iSTD [M+H-H2O]+_HVYWMOMLDIMFJA-IFAPJKRJSA-N,100
1_DG 17:0/14:1-d5 iSTD [M+K]+,50
1_DG 17:0/14:1-d5 iSTD [M+Na]+,50
1_DG 17:0/14:1-d5 iSTD [M+NH4]+,50
1_DG 17:0/16:1-d5 iSTD [M+K]+,100
1_DG 17:0/16:1-d5 iSTD [M+Na]+,100
1_DG 17:0/16:1-d5 iSTD [M+NH4]+,100
1_DG 17:0/18:1-d5 iSTD [M+K]+,150
